Category,Component,Quantity,Unit Cost (USD),Total Cost (USD)
Power Stage,XL4016 DC/DC Buck Converter,4,17.5,70
Power Stage,XL4016 with Display,1,7,7
Controller,ESP32-S3 DevKitC-1,1,11,11
Power Input,24V 10A Power Adapter,1,14,14
Protection,Fuses + Fuse Holders + Switches,1,4.4,4.4
Protection,SMBJ26A TVS Diodes,3,0.5,1.5
Passive,Capacitor + Resistor + Buzzer Kits,1,35.7,35.7
UI,Rotary Encoders + Knobs,1,3.6,3.6
Accessories,"Jumper wires, clips, stripper, connectors, ferrules, wires, terminals",1,25.6,25.6
Assembly,Heat Shrink Kit,1,3,3
Thermal,Heat Transfer Paste,1,5.7,5.7
Protection,Zener Kit + Other Diodes,1,4.3,4.3
Switching,4-Channel Relay Module,1,2.6,2.6
Power,LM2596 Buck Converter,3,0.9,2.7
Power,12V 5A Power Adapter,1,6,6
Regulation,AMS1117-3.3V,1,0.06,0.06
Wireless,Wireless Supply + Receiver,1,6.9,6.9
Sensing,ACS712 Current Sensor,5,2,10
Connectivity,USB Connectors + Covers,1,2,2
Connectivity,ESP USB Cable,1,1,1
Sensing,NTC Thermistor,1,0.8,0.8
Cooling,Fans + Fan Grills,1,7.2,7.2
Cooling,Heat Sinks,1,2.9,2.9
Semiconductors,Transistors,1,4,4
Development,Large Breadboard,1,7,7
Display,ESP TFT Touch Screen,1,18,18
Power Input,External AC Socket,1,8,8
Lighting,White LED Strip,1,10.9,10.9
,,,Total,212
